Protocol,Side,Model,Seed,TrainRows,TestRows,TestAccuracy,TestBalancedAccuracy,TestSensitivity,TestSpecificity,TestF1Macro,TestROCAUC,TestPRAUC,RunDir,Status
within_class,left,SVM,123,1040,74,0.8513513513513513,0.8325320512820513,0.7692307692307693,0.8958333333333334,0.8354558318172629,0.8886217948717949,0.8727487941535399,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\SVM\seed_123,OK
within_class,left,SVM,2026,1040,74,0.8513513513513513,0.8325320512820513,0.7692307692307693,0.8958333333333334,0.8354558318172629,0.8886217948717949,0.8727487941535399,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\SVM\seed_2026,OK
within_class,left,MLP,42,1040,74,0.8108108108108109,0.8100961538461539,0.8076923076923077,0.8125,0.798913043478261,0.8469551282051283,0.8292666214111112,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\MLP\seed_42,OK
within_class,left,MLP,123,1040,74,0.7837837837837838,0.7716346153846154,0.7307692307692307,0.8125,0.7667454688731286,0.8461538461538461,0.8444857008846453,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\MLP\seed_123,OK
within_class,left,MLP,2026,1040,74,0.7702702702702703,0.7612179487179487,0.7307692307692307,0.7916666666666666,0.75405669599218,0.8685897435897436,0.8455962219082086,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\MLP\seed_2026,OK
within_class,left,ResNet,42,1040,74,0.7162162162162162,0.6754807692307692,0.5384615384615384,0.8125,0.6796536796536797,0.654647435897436,0.5522033008483098,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\ResNet\seed_42,OK
within_class,left,ResNet,123,1040,74,0.6351351351351351,0.5865384615384616,0.4230769230769231,0.75,0.5881261595547309,0.6041666666666667,0.49321277013897524,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\ResNet\seed_123,OK
within_class,left,ResNet,2026,1040,74,0.6351351351351351,0.5865384615384616,0.4230769230769231,0.75,0.5881261595547309,0.6482371794871795,0.531653425461111,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\ResNet\seed_2026,OK
within_class,left,ResNetAE,42,1040,74,0.5945945945945946,0.5552884615384616,0.4230769230769231,0.6875,0.5552884615384616,0.5745192307692307,0.4309180829526885,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\ResNetAE\seed_42,OK
within_class,left,ResNetAE,123,1040,74,0.6756756756756757,0.6530448717948718,0.5769230769230769,0.7291666666666666,0.6501182033096926,0.6426282051282052,0.5583033966317533,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\ResNetAE\seed_123,OK
within_class,left,ResNetAE,2026,1040,74,0.6081081081081081,0.5568910256410257,0.38461538461538464,0.7291666666666666,0.5576169861884148,0.6169871794871795,0.4277306872414336,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\ResNetAE\seed_2026,OK
within_class,left,MobileNet,42,1040,74,0.6351351351351351,0.5865384615384616,0.4230769230769231,0.75,0.5881261595547309,0.6033653846153846,0.4447315191860719,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\MobileNet\seed_42,OK
within_class,left,MobileNet,123,1040,74,0.7162162162162162,0.6666666666666667,0.5,0.8333333333333334,0.6726353486412472,0.6770833333333333,0.6223602282477442,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\MobileNet\seed_123,OK
within_class,left,MobileNet,2026,1040,74,0.7432432432432432,0.7139423076923077,0.6153846153846154,0.8125,0.7157873458661814,0.7395833333333334,0.6729531608527161,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\MobileNet\seed_2026,OK
within_class,left,SqueezeNet,42,1040,74,0.527027027027027,0.5560897435897436,0.6538461538461539,0.4583333333333333,0.5248578242524307,0.6346153846153846,0.5189314762228739,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\SqueezeNet\seed_42,OK
within_class,left,SqueezeNet,123,1040,74,0.5405405405405406,0.5841346153846154,0.7307692307692307,0.4375,0.5402046783625731,0.6298076923076924,0.47147407814190034,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\SqueezeNet\seed_123,OK
within_class,left,SqueezeNet,2026,1040,74,0.5405405405405406,0.5753205128205128,0.6923076923076923,0.4583333333333333,0.5391941391941392,0.5825320512820512,0.4605935625460004,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\SqueezeNet\seed_2026,OK
within_class,right,SVM,42,820,75,0.8533333333333334,0.7568181818181818,0.55,0.9636363636363636,0.7863247863247864,0.9054545454545454,0.7946261219469193,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\SVM\seed_42,OK
within_class,right,SVM,123,820,75,0.8533333333333334,0.7568181818181818,0.55,0.9636363636363636,0.7863247863247864,0.9054545454545454,0.7946261219469193,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\SVM\seed_123,OK
within_class,right,SVM,2026,820,75,0.8533333333333334,0.7568181818181818,0.55,0.9636363636363636,0.7863247863247864,0.9054545454545454,0.7946261219469193,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\SVM\seed_2026,OK
within_class,right,MLP,42,820,75,0.88,0.8386363636363636,0.75,0.9272727272727272,0.844074844074844,0.9154545454545455,0.8140267091048594,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\MLP\seed_42,OK
within_class,right,MLP,123,820,75,0.88,0.8386363636363636,0.75,0.9272727272727272,0.844074844074844,0.9281818181818182,0.8248538970032819,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\MLP\seed_123,OK
within_class,right,MLP,2026,820,75,0.88,0.8386363636363636,0.75,0.9272727272727272,0.844074844074844,0.9081818181818182,0.8077352492504202,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\MLP\seed_2026,OK
within_class,right,ResNet,42,820,75,0.68,0.6545454545454545,0.6,0.7090909090909091,0.6323529411764706,0.7345454545454546,0.41486594214531475,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\ResNet\seed_42,OK
within_class,right,ResNet,123,820,75,0.8133333333333334,0.8090909090909091,0.8,0.8181818181818182,0.7805183946488294,0.860909090909091,0.6946761460863792,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\ResNet\seed_123,OK
within_class,right,ResNet,2026,820,75,0.7866666666666666,0.7272727272727273,0.6,0.8545454545454545,0.7272727272727273,0.7890909090909091,0.6405648740606171,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\ResNet\seed_2026,OK
within_class,right,ResNetAE,42,820,75,0.6666666666666666,0.6454545454545455,0.6,0.6909090909090909,0.6211355829460496,0.6736363636363636,0.3750866615375299,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\ResNetAE\seed_42,OK
within_class,right,ResNetAE,123,820,75,0.7733333333333333,0.75,0.7,0.8,0.7301587301587302,0.8418181818181818,0.7095855843563219,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\ResNetAE\seed_123,OK
within_class,right,ResNetAE,2026,820,75,0.7333333333333333,0.675,0.55,0.8,0.6693121693121693,0.8327272727272728,0.6867807920752884,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\ResNetAE\seed_2026,OK
within_class,right,MobileNet,42,820,75,0.8266666666666667,0.7068181818181818,0.45,0.9636363636363636,0.7357007319056654,0.8172727272727273,0.6992494290258324,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\MobileNet\seed_42,OK
within_class,right,MobileNet,123,820,75,0.7333333333333333,0.6272727272727272,0.4,0.8545454545454545,0.6345029239766081,0.7263636363636363,0.48529149657644843,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\MobileNet\seed_123,OK
within_class,right,MobileNet,2026,820,75,0.7333333333333333,0.675,0.55,0.8,0.6693121693121693,0.7663636363636364,0.5049574754545336,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\MobileNet\seed_2026,OK
within_class,right,SqueezeNet,42,820,75,0.5466666666666666,0.6590909090909091,0.9,0.41818181818181815,0.5446428571428572,0.7872727272727272,0.6223050014999791,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\SqueezeNet\seed_42,OK
within_class,right,SqueezeNet,123,820,75,0.6666666666666666,0.6931818181818181,0.75,0.6363636363636364,0.6411483253588517,0.7790909090909091,0.5540485260815465,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\SqueezeNet\seed_123,OK
within_class,right,SqueezeNet,2026,820,75,0.7333333333333333,0.6909090909090909,0.6,0.7818181818181819,0.6783876500857633,0.7645454545454545,0.561687823211942,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\right\SqueezeNet\seed_2026,OK
